,Datetime,Temperature
0,2023-08-06 23:46:16.898513,24
1,2023-08-07 00:01:16.898513,41
2,2023-08-07 00:16:16.898513,33
3,2023-08-07 00:31:16.898513,34
4,2023-08-07 00:46:16.898513,22
5,2023-08-07 01:01:16.898513,41
6,2023-08-07 01:16:16.898513,28
7,2023-08-07 01:31:16.898513,43
8,2023-08-07 01:46:16.898513,21
9,2023-08-07 02:01:16.898513,28
10,2023-08-07 02:16:16.898513,43
11,2023-08-07 02:31:16.898513,35
12,2023-08-07 02:46:16.898513,36
13,2023-08-07 03:01:16.898513,32
14,2023-08-07 03:16:16.898513,24
15,2023-08-07 03:31:16.898513,37
16,2023-08-07 03:46:16.898513,27
17,2023-08-07 04:01:16.898513,28
18,2023-08-07 04:16:16.898513,30
19,2023-08-07 04:31:16.898513,22
20,2023-08-07 04:46:16.898513,35
21,2023-08-07 05:01:16.898513,24
22,2023-08-07 05:16:16.898513,33
23,2023-08-07 05:31:16.898513,31
24,2023-08-07 05:46:16.898513,31
25,2023-08-07 06:01:16.898513,26
26,2023-08-07 06:16:16.898513,25
27,2023-08-07 06:31:16.898513,39
28,2023-08-07 06:46:16.898513,41
29,2023-08-07 07:01:16.898513,37
30,2023-08-07 07:16:16.898513,23
31,2023-08-07 07:31:16.898513,27
32,2023-08-07 07:46:16.898513,25
33,2023-08-07 08:01:16.898513,20
34,2023-08-07 08:16:16.898513,38
35,2023-08-07 08:31:16.898513,42
36,2023-08-07 08:46:16.898513,45
37,2023-08-07 09:01:16.898513,34
38,2023-08-07 09:16:16.898513,45
39,2023-08-07 09:31:16.898513,28
40,2023-08-07 09:46:16.898513,30
41,2023-08-07 10:01:16.898513,40
42,2023-08-07 10:16:16.898513,37
43,2023-08-07 10:31:16.898513,45
44,2023-08-07 10:46:16.898513,20
45,2023-08-07 11:01:16.898513,23
46,2023-08-07 11:16:16.898513,21
47,2023-08-07 11:31:16.898513,21
48,2023-08-07 11:46:16.898513,32
49,2023-08-07 12:01:16.898513,34
50,2023-08-07 12:16:16.898513,28
51,2023-08-07 12:31:16.898513,23
52,2023-08-07 12:46:16.898513,21
53,2023-08-07 13:01:16.898513,39
54,2023-08-07 13:16:16.898513,31
55,2023-08-07 13:31:16.898513,36
56,2023-08-07 13:46:16.898513,40
57,2023-08-07 14:01:16.898513,37
58,2023-08-07 14:16:16.898513,36
59,2023-08-07 14:31:16.898513,24
60,2023-08-07 14:46:16.898513,26
61,2023-08-07 15:01:16.898513,41
62,2023-08-07 15:16:16.898513,35
63,2023-08-07 15:31:16.898513,33
64,2023-08-07 15:46:16.898513,27
65,2023-08-07 16:01:16.898513,41
66,2023-08-07 16:16:16.898513,26
67,2023-08-07 16:31:16.898513,29
68,2023-08-07 16:46:16.898513,29
69,2023-08-07 17:01:16.898513,36
70,2023-08-07 17:16:16.898513,21
71,2023-08-07 17:31:16.898513,32
72,2023-08-07 17:46:16.898513,25
73,2023-08-07 18:01:16.898513,31
74,2023-08-07 18:16:16.898513,43
75,2023-08-07 18:31:16.898513,31
76,2023-08-07 18:46:16.898513,29
77,2023-08-07 19:01:16.898513,38
78,2023-08-07 19:16:16.898513,40
79,2023-08-07 19:31:16.898513,45
80,2023-08-07 19:46:16.898513,22
81,2023-08-07 20:01:16.898513,33
82,2023-08-07 20:16:16.898513,36
83,2023-08-07 20:31:16.898513,33
84,2023-08-07 20:46:16.898513,31
85,2023-08-07 21:01:16.898513,36
86,2023-08-07 21:16:16.898513,21
87,2023-08-07 21:31:16.898513,39
88,2023-08-07 21:46:16.898513,44
89,2023-08-07 22:01:16.898513,40
90,2023-08-07 22:16:16.898513,25
91,2023-08-07 22:31:16.898513,25
92,2023-08-07 22:46:16.898513,40
93,2023-08-07 23:01:16.898513,45
94,2023-08-07 23:16:16.898513,22
95,2023-08-07 23:31:16.898513,37
96,2023-08-07 23:46:16.898513,32
97,2023-08-08 00:01:16.898513,22
98,2023-08-08 00:16:16.898513,34
99,2023-08-08 00:31:16.898513,24
100,2023-08-08 00:46:16.898513,45
101,2023-08-08 01:01:16.898513,32
102,2023-08-08 01:16:16.898513,33
103,2023-08-08 01:31:16.898513,20
104,2023-08-08 01:46:16.898513,33
105,2023-08-08 02:01:16.898513,23
106,2023-08-08 02:16:16.898513,22
107,2023-08-08 02:31:16.898513,27
108,2023-08-08 02:46:16.898513,21
109,2023-08-08 03:01:16.898513,30
110,2023-08-08 03:16:16.898513,43
111,2023-08-08 03:31:16.898513,33
112,2023-08-08 03:46:16.898513,32
113,2023-08-08 04:01:16.898513,22
114,2023-08-08 04:16:16.898513,20
115,2023-08-08 04:31:16.898513,38
116,2023-08-08 04:46:16.898513,20
117,2023-08-08 05:01:16.898513,24
118,2023-08-08 05:16:16.898513,44
119,2023-08-08 05:31:16.898513,22
120,2023-08-08 05:46:16.898513,24
121,2023-08-08 06:01:16.898513,34
122,2023-08-08 06:16:16.898513,28
123,2023-08-08 06:31:16.898513,41
124,2023-08-08 06:46:16.898513,42
125,2023-08-08 07:01:16.898513,45
126,2023-08-08 07:16:16.898513,20
127,2023-08-08 07:31:16.898513,32
128,2023-08-08 07:46:16.898513,30
129,2023-08-08 08:01:16.898513,38
130,2023-08-08 08:16:16.898513,33
131,2023-08-08 08:31:16.898513,21
132,2023-08-08 08:46:16.898513,20
133,2023-08-08 09:01:16.898513,39
134,2023-08-08 09:16:16.898513,38
135,2023-08-08 09:31:16.898513,39
136,2023-08-08 09:46:16.898513,31
137,2023-08-08 10:01:16.898513,45
138,2023-08-08 10:16:16.898513,39
139,2023-08-08 10:31:16.898513,36
140,2023-08-08 10:46:16.898513,20
141,2023-08-08 11:01:16.898513,32
142,2023-08-08 11:16:16.898513,39
143,2023-08-08 11:31:16.898513,25
144,2023-08-08 11:46:16.898513,43
145,2023-08-08 12:01:16.898513,27
146,2023-08-08 12:16:16.898513,23
147,2023-08-08 12:31:16.898513,23
148,2023-08-08 12:46:16.898513,37
149,2023-08-08 13:01:16.898513,21
150,2023-08-08 13:16:16.898513,29
151,2023-08-08 13:31:16.898513,34
152,2023-08-08 13:46:16.898513,23
153,2023-08-08 14:01:16.898513,34
154,2023-08-08 14:16:16.898513,36
155,2023-08-08 14:31:16.898513,44
156,2023-08-08 14:46:16.898513,41
157,2023-08-08 15:01:16.898513,28
158,2023-08-08 15:16:16.898513,40
159,2023-08-08 15:31:16.898513,24
160,2023-08-08 15:46:16.898513,28
161,2023-08-08 16:01:16.898513,31
162,2023-08-08 16:16:16.898513,27
163,2023-08-08 16:31:16.898513,36
164,2023-08-08 16:46:16.898513,30
165,2023-08-08 17:01:16.898513,31
166,2023-08-08 17:16:16.898513,29
167,2023-08-08 17:31:16.898513,42
168,2023-08-08 17:46:16.898513,29
169,2023-08-08 18:01:16.898513,23
170,2023-08-08 18:16:16.898513,32
171,2023-08-08 18:31:16.898513,22
172,2023-08-08 18:46:16.898513,25
173,2023-08-08 19:01:16.898513,32
174,2023-08-08 19:16:16.898513,36
175,2023-08-08 19:31:16.898513,32
176,2023-08-08 19:46:16.898513,36
177,2023-08-08 20:01:16.898513,32
178,2023-08-08 20:16:16.898513,39
179,2023-08-08 20:31:16.898513,37
180,2023-08-08 20:46:16.898513,41
181,2023-08-08 21:01:16.898513,30
182,2023-08-08 21:16:16.898513,20
183,2023-08-08 21:31:16.898513,25
184,2023-08-08 21:46:16.898513,37
185,2023-08-08 22:01:16.898513,31
186,2023-08-08 22:16:16.898513,34
187,2023-08-08 22:31:16.898513,21
188,2023-08-08 22:46:16.898513,41
189,2023-08-08 23:01:16.898513,38
190,2023-08-08 23:16:16.898513,21
191,2023-08-08 23:31:16.898513,35
192,2023-08-08 23:46:16.898513,40
193,2023-08-09 00:01:16.898513,33
194,2023-08-09 00:16:16.898513,42
195,2023-08-09 00:31:16.898513,26
196,2023-08-09 00:46:16.898513,34
197,2023-08-09 01:01:16.898513,29
198,2023-08-09 01:16:16.898513,23
199,2023-08-09 01:31:16.898513,45
200,2023-08-09 01:46:16.898513,35
201,2023-08-09 02:01:16.898513,25
202,2023-08-09 02:16:16.898513,26
203,2023-08-09 02:31:16.898513,26
204,2023-08-09 02:46:16.898513,38
205,2023-08-09 03:01:16.898513,22
206,2023-08-09 03:16:16.898513,40
207,2023-08-09 03:31:16.898513,35
208,2023-08-09 03:46:16.898513,24
209,2023-08-09 04:01:16.898513,34
210,2023-08-09 04:16:16.898513,21
211,2023-08-09 04:31:16.898513,31
212,2023-08-09 04:46:16.898513,27
213,2023-08-09 05:01:16.898513,36
214,2023-08-09 05:16:16.898513,43
215,2023-08-09 05:31:16.898513,26
216,2023-08-09 05:46:16.898513,25
217,2023-08-09 06:01:16.898513,34
218,2023-08-09 06:16:16.898513,45
219,2023-08-09 06:31:16.898513,30
220,2023-08-09 06:46:16.898513,20
221,2023-08-09 07:01:16.898513,33
222,2023-08-09 07:16:16.898513,34
223,2023-08-09 07:31:16.898513,20
224,2023-08-09 07:46:16.898513,40
225,2023-08-09 08:01:16.898513,30
226,2023-08-09 08:16:16.898513,39
227,2023-08-09 08:31:16.898513,23
228,2023-08-09 08:46:16.898513,23
229,2023-08-09 09:01:16.898513,28
230,2023-08-09 09:16:16.898513,28
231,2023-08-09 09:31:16.898513,32
232,2023-08-09 09:46:16.898513,37
233,2023-08-09 10:01:16.898513,33
234,2023-08-09 10:16:16.898513,45
235,2023-08-09 10:31:16.898513,38
236,2023-08-09 10:46:16.898513,45
237,2023-08-09 11:01:16.898513,26
238,2023-08-09 11:16:16.898513,22
239,2023-08-09 11:31:16.898513,45
240,2023-08-09 11:46:16.898513,22
241,2023-08-09 12:01:16.898513,43
242,2023-08-09 12:16:16.898513,44
243,2023-08-09 12:31:16.898513,35
244,2023-08-09 12:46:16.898513,45
245,2023-08-09 13:01:16.898513,43
246,2023-08-09 13:16:16.898513,39
247,2023-08-09 13:31:16.898513,31
248,2023-08-09 13:46:16.898513,31
249,2023-08-09 14:01:16.898513,28
250,2023-08-09 14:16:16.898513,29
251,2023-08-09 14:31:16.898513,37
252,2023-08-09 14:46:16.898513,36
253,2023-08-09 15:01:16.898513,35
254,2023-08-09 15:16:16.898513,33
255,2023-08-09 15:31:16.898513,29
256,2023-08-09 15:46:16.898513,43
257,2023-08-09 16:01:16.898513,42
258,2023-08-09 16:16:16.898513,32
259,2023-08-09 16:31:16.898513,30
260,2023-08-09 16:46:16.898513,45
261,2023-08-09 17:01:16.898513,42
262,2023-08-09 17:16:16.898513,32
263,2023-08-09 17:31:16.898513,28
264,2023-08-09 17:46:16.898513,44
265,2023-08-09 18:01:16.898513,27
266,2023-08-09 18:16:16.898513,28
267,2023-08-09 18:31:16.898513,28
268,2023-08-09 18:46:16.898513,34
269,2023-08-09 19:01:16.898513,45
270,2023-08-09 19:16:16.898513,41
271,2023-08-09 19:31:16.898513,31
272,2023-08-09 19:46:16.898513,30
273,2023-08-09 20:01:16.898513,30
274,2023-08-09 20:16:16.898513,35
275,2023-08-09 20:31:16.898513,26
276,2023-08-09 20:46:16.898513,38
277,2023-08-09 21:01:16.898513,34
278,2023-08-09 21:16:16.898513,45
279,2023-08-09 21:31:16.898513,39
280,2023-08-09 21:46:16.898513,24
281,2023-08-09 22:01:16.898513,34
282,2023-08-09 22:16:16.898513,23
283,2023-08-09 22:31:16.898513,32
284,2023-08-09 22:46:16.898513,28
285,2023-08-09 23:01:16.898513,42
286,2023-08-09 23:16:16.898513,22
287,2023-08-09 23:31:16.898513,23
288,2023-08-09 23:46:16.898513,26
289,2023-08-10 00:01:16.898513,24
290,2023-08-10 00:16:16.898513,33
291,2023-08-10 00:31:16.898513,27
292,2023-08-10 00:46:16.898513,28
293,2023-08-10 01:01:16.898513,44
294,2023-08-10 01:16:16.898513,22
295,2023-08-10 01:31:16.898513,21
296,2023-08-10 01:46:16.898513,21
297,2023-08-10 02:01:16.898513,29
298,2023-08-10 02:16:16.898513,23
299,2023-08-10 02:31:16.898513,23
300,2023-08-10 02:46:16.898513,21
301,2023-08-10 03:01:16.898513,27
302,2023-08-10 03:16:16.898513,33
303,2023-08-10 03:31:16.898513,28
304,2023-08-10 03:46:16.898513,30
305,2023-08-10 04:01:16.898513,25
306,2023-08-10 04:16:16.898513,40
307,2023-08-10 04:31:16.898513,34
308,2023-08-10 04:46:16.898513,26
309,2023-08-10 05:01:16.898513,36
310,2023-08-10 05:16:16.898513,44
311,2023-08-10 05:31:16.898513,28
312,2023-08-10 05:46:16.898513,38
313,2023-08-10 06:01:16.898513,42
314,2023-08-10 06:16:16.898513,25
315,2023-08-10 06:31:16.898513,24
316,2023-08-10 06:46:16.898513,22
317,2023-08-10 07:01:16.898513,32
318,2023-08-10 07:16:16.898513,26
319,2023-08-10 07:31:16.898513,32
320,2023-08-10 07:46:16.898513,34
321,2023-08-10 08:01:16.898513,33
322,2023-08-10 08:16:16.898513,31
323,2023-08-10 08:31:16.898513,25
324,2023-08-10 08:46:16.898513,45
325,2023-08-10 09:01:16.898513,30
326,2023-08-10 09:16:16.898513,21
327,2023-08-10 09:31:16.898513,29
328,2023-08-10 09:46:16.898513,40
